feature,importance
Follicle No. (R),1.875661179394885
hair growth(Y/N),0.7452476909048169
Weight gain(Y/N),0.6776471687868812
Cycle(R/I),0.6594684899875259
Skin darkening (Y/N),0.6561170056144482
Follicle No. (L),0.6280155877181498
Marraige Status (Yrs),0.6011168734819718
Pulse rate(bpm),0.5724696456684933
Pimples(Y/N),0.504529990180243
RBS(mg/dl),0.41304076537386747
Endometrium (mm),0.35156946006384965
BP _Diastolic (mmHg),0.33290381019598647
PRG(ng/mL),0.32648153777373645
TSH (mIU/L),0.32314839004221435
Reg.Exercise(Y/N),0.3095811170632616
No. of aborptions,0.2932574701151141
Cycle length(days),0.27476263889069386
Hair loss(Y/N),0.264532289868918
BP _Systolic (mmHg),0.25102168677826847
Avg. F size (L) (mm),0.2436137612327698
Age (yrs),0.23572802910123786
Waist(inch),0.2277650425956326
AMH(ng/mL),0.21829327710776728
Weight (Kg),0.18144798587739563
LH(mIU/mL),0.1421623724794784
Vit D3 (ng/mL),0.11757975212903658
FSH(mIU/mL),0.11700066307778216
Pregnant(Y/N),0.1121732131215886
PRL(ng/mL),0.09298769809801183
Blood Group,0.09152590532291378
Fast food (Y/N),0.08892374324826662
Height(Cm),0.08536253032955009
I   beta-HCG(mIU/mL),0.08351708532697219
Hip(inch),0.07630120539413261
FSH/LH,0.07290453486596586
Hb(g/dl),0.07196478441370019
Waist:Hip Ratio,0.06935344826758061
Avg. F size (R) (mm),0.06847524237972413
II    beta-HCG(mIU/mL),0.06773276853999897
BMI,0.030840297565174087
RR (breaths/min),0.01707327016444312
