feature,importance
PRG(ng/mL),1.0012482519126724
hair growth(Y/N),0.7456030832545855
Skin darkening (Y/N),0.6656189800388729
Weight gain(Y/N),0.6636532020702169
Avg. F size (L) (mm),0.5325469080385253
Pimples(Y/N),0.48918132540082554
Cycle length(days),0.475614657103414
Pulse rate(bpm),0.42829336738261564
Cycle(R/I),0.40179410542970706
Avg. F size (R) (mm),0.3953346294118347
AMH(ng/mL),0.32755142695783895
Waist(inch),0.3037871717504846
TSH (mIU/L),0.3035089678241488
FSH(mIU/mL),0.2686635579080259
Endometrium (mm),0.26258177679057515
Marraige Status (Yrs),0.2506194496149546
Pregnant(Y/N),0.2465929592002936
No. of aborptions,0.2440717083986647
BP _Diastolic (mmHg),0.22342026054952172
Reg.Exercise(Y/N),0.21868747149256143
RBS(mg/dl),0.20554908845640119
BMI,0.1978999623595459
Vit D3 (ng/mL),0.18598686081035784
FSH/LH,0.17240785021567107
Waist:Hip Ratio,0.15129537284907554
Hb(g/dl),0.12821888368433068
Age (yrs),0.12658055936272858
Fast food (Y/N),0.11583360090240961
II    beta-HCG(mIU/mL),0.08012430896637637
PRL(ng/mL),0.07989899277462682
BP _Systolic (mmHg),0.06324291937864027
LH(mIU/mL),0.043297356735735815
Hip(inch),0.03448876359279392
Blood Group,0.028978067293596692
Height(Cm),0.02344725722409348
Weight (Kg),0.016505509145074464
I   beta-HCG(mIU/mL),0.012758695558548964
Hair loss(Y/N),0.009027817820176136
RR (breaths/min),0.0013498839438985343
