feature,importance
Follicle No. (R),0.18400965107794204
Follicle No. (L),0.12757076763938982
Skin darkening (Y/N),0.05065618114424144
hair growth(Y/N),0.049056203488724456
Weight gain(Y/N),0.0464047142387644
AMH(ng/mL),0.03470593331049125
Cycle length(days),0.02799935853584883
LH(mIU/mL),0.024297172614134457
Cycle(R/I),0.02357074598952637
BMI,0.022239608790976747
Weight (Kg),0.02072403189558569
TSH (mIU/L),0.020467741553655053
Age (yrs),0.02015278625623734
Endometrium (mm),0.01980972688814361
Hip(inch),0.019748742581134557
Fast food (Y/N),0.019689838191648084
Waist:Hip Ratio,0.018528296144695196
FSH/LH,0.018241875584671614
Marraige Status (Yrs),0.0180920948685654
I   beta-HCG(mIU/mL),0.017017846053267727
Avg. F size (R) (mm),0.016660010140587298
Waist(inch),0.01593410124396653
Vit D3 (ng/mL),0.015854671839614993
Height(Cm),0.015187378668620166
RBS(mg/dl),0.014933700744735578
Pimples(Y/N),0.014922611774027459
FSH(mIU/mL),0.014587853918925513
PRL(ng/mL),0.014086746063160304
Avg. F size (L) (mm),0.013950488781058902
PRG(ng/mL),0.013899868799732434
Hb(g/dl),0.013333593671167841
Pulse rate(bpm),0.010066027001147402
II    beta-HCG(mIU/mL),0.00952944621487152
RR (breaths/min),0.006941694792022136
Blood Group,0.005676932271036623
Hair loss(Y/N),0.005255145846362242
BP _Systolic (mmHg),0.004217187936187614
Reg.Exercise(Y/N),0.003468884251056096
No. of aborptions,0.0030379488604099277
BP _Diastolic (mmHg),0.00289035664933677
Pregnant(Y/N),0.002582033684328495
