feature,importance
Skin darkening (Y/N),0.07205248519686575
hair growth(Y/N),0.06910538003983539
Weight gain(Y/N),0.06347674128269924
AMH(ng/mL),0.06346017588976052
Cycle length(days),0.040990323258549136
FSH/LH,0.032621629575316335
Cycle(R/I),0.03243025126807176
Age (yrs),0.02907724273869293
Weight (Kg),0.028790551185951186
Vit D3 (ng/mL),0.028725887685258276
Hip(inch),0.027886122437220825
BMI,0.027864751702724896
Avg. F size (R) (mm),0.027806308082197476
Waist:Hip Ratio,0.027497773286721323
LH(mIU/mL),0.02734572757244896
Marraige Status (Yrs),0.02653523695245429
Endometrium (mm),0.02633987359864261
TSH (mIU/L),0.026120596074233025
Fast food (Y/N),0.02494174479200432
Height(Cm),0.024125869007221516
Waist(inch),0.024072732804560192
Avg. F size (L) (mm),0.024043369531293983
PRL(ng/mL),0.023926190895620918
I   beta-HCG(mIU/mL),0.02347015181133394
FSH(mIU/mL),0.02322419325270826
RBS(mg/dl),0.02240652038556732
Pimples(Y/N),0.01998326269404297
PRG(ng/mL),0.01935061692957084
Hb(g/dl),0.017545747766201117
Pulse rate(bpm),0.012935904785652664
II    beta-HCG(mIU/mL),0.01280652931497016
RR (breaths/min),0.009113877205785624
Blood Group,0.008542044840366492
Hair loss(Y/N),0.006950119774944371
Reg.Exercise(Y/N),0.006044409115655373
No. of aborptions,0.005935888243626334
BP _Systolic (mmHg),0.005840217995626541
BP _Diastolic (mmHg),0.0034723822262251822
Pregnant(Y/N),0.003141168799377959
